solver,N,z_mm,r_mm,phi
Thomas,16,4.705882352941177,15.294117647058828,39.186604179132594
Thomas,16,4.705882352941177,16.470588235294123,29.68675953276733
Thomas,16,4.705882352941177,17.64705882352942,19.933235871441976
Thomas,16,4.705882352941177,18.82352941176471,10.009382398129077
Thomas,16,7.058823529411765,1.1764705882352944,157.2818798753396
Thomas,16,7.058823529411765,2.3529411764705888,155.28790523282265
Thomas,16,7.058823529411765,3.529411764705883,151.96516328201432
Thomas,16,7.058823529411765,4.7058823529411775,147.34239510317855
Thomas,16,7.058823529411765,5.882352941176472,141.45940470848316
Thomas,16,7.058823529411765,7.058823529411766,134.36671951209064
Thomas,16,7.058823529411765,8.235294117647062,126.1251644782312
Thomas,16,7.058823529411765,9.411764705882355,116.80534392491371
Thomas,16,7.058823529411765,10.58823529411765,106.48704285798439
Thomas,16,7.058823529411765,11.764705882352944,95.25854800657427
Thomas,16,7.058823529411765,12.941176470588239,83.21589744655034
Thomas,16,7.058823529411765,14.117647058823533,70.462062670595
Thomas,16,7.058823529411765,15.294117647058828,57.106072807851504
Thomas,16,7.058823529411765,16.470588235294123,43.26208560904799
Thomas,16,7.058823529411765,17.64705882352942,29.048416139041986
Thomas,16,7.058823529411765,18.82352941176471,14.586528129525329
Thomas,16,9.411764705882353,1.1764705882352944,201.27972974472007
Thomas,16,9.411764705882353,2.3529411764705888,198.727969118258
Thomas,16,9.411764705882353,3.529411764705883,194.47573056627462
Thomas,16,9.411764705882353,4.7058823529411775,188.55979734154678
Thomas,16,9.411764705882353,5.882352941176472,181.03110772204425
Thomas,16,9.411764705882353,7.058823529411766,171.95432401018465
Thomas,16,9.411764705882353,8.235294117647062,161.40728585761204
Thomas,16,9.411764705882353,9.411764705882355,149.48034866112363
Thomas,16,9.411764705882353,10.58823529411765,136.27561647031774
Thomas,16,9.411764705882353,11.764705882352944,121.90607363480724
Thomas,16,9.411764705882353,12.941176470588239,106.49462389433195
Thomas,16,9.411764705882353,14.117647058823533,90.17304424791368
Thomas,16,9.411764705882353,15.294117647058828,73.08086347618453
Thomas,16,9.411764705882353,16.470588235294123,55.364173954078986
Thomas,16,9.411764705882353,17.64705882352942,37.17438790693319
Thomas,16,9.411764705882353,18.82352941176471,18.66694725977141
Thomas,16,11.764705882352942,1.1764705882352944,238.4231941245595
Thomas,16,11.764705882352942,2.3529411764705888,235.40052269641558
Thomas,16,11.764705882352942,3.529411764705883,230.36358618746272
Thomas,16,11.764705882352942,4.7058823529411775,223.3559491461746
Thomas,16,11.764705882352942,5.882352941176472,214.43794722509531
Thomas,16,11.764705882352942,7.058823529411766,203.68617277897434
Thomas,16,11.764705882352942,8.235294117647062,191.19282824519118
Thomas,16,11.764705882352942,9.411764705882355,177.06494179629766
Thomas,16,11.764705882352942,10.58823529411765,161.42345891907706
Thomas,16,11.764705882352942,11.764705882352944,144.40221337890483
Thomas,16,11.764705882352942,12.941176470588239,126.14678928923247
Thomas,16,11.764705882352942,14.117647058823533,106.81328144111198
Thomas,16,11.764705882352942,15.294117647058828,86.56696721021495
Thomas,16,11.764705882352942,16.470588235294123,65.58089855391142
Thomas,16,11.764705882352942,17.64705882352942,44.03442899853107
Thomas,16,11.764705882352942,18.82352941176471,22.111685384766
Thomas,16,14.11764705882353,1.1764705882352944,267.4474862962777
Thomas,16,14.11764705882353,2.3529411764705888,264.0568569002474
Thomas,16,14.11764705882353,3.529411764705883,258.4067543197842
Thomas,16,14.11764705882353,4.7058823529411775,250.5460482550452
Thomas,16,14.11764705882353,5.882352941176472,240.54241967195202
Thomas,16,14.11764705882353,7.058823529411766,228.4817851198048
Thomas,16,14.11764705882353,8.235294117647062,214.46757101752
Thomas,16,14.11764705882353,9.411764705882355,198.61983469452318
Thomas,16,14.11764705882353,10.58823529411765,181.07424495100403
Thomas,16,14.11764705882353,11.764705882352944,161.98092792628998
Thomas,16,14.11764705882353,12.941176470588239,141.50319041940773
Thomas,16,14.11764705882353,14.117647058823533,119.81612949700752
Thomas,16,14.11764705882353,15.294117647058828,97.10514249569819
Thomas,16,14.11764705882353,16.470588235294123,73.56434780859446
Thomas,16,14.11764705882353,17.64705882352942,49.394932290627814
Thomas,16,14.11764705882353,18.82352941176471,24.80343734332892
Thomas,16,16.47058823529412,1.1764705882352944,287.36414899032707
Thomas,16,16.47058823529412,2.3529411764705888,283.7210217286408
Thomas,16,16.47058823529412,3.529411764705883,277.6501630732597
Thomas,16,16.47058823529412,4.7058823529411775,269.20408058349165
Thomas,16,16.47058823529412,5.882352941176472,258.45549212695613
Thomas,16,16.47058823529412,7.058823529411766,245.49671288964188
